"name"	"SN1999an"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"12"
"discoverer"	"BAOSS"
"discovermonth"	"3"
"discoveryear"	"1999"
"galdec"	"+140615"
"galra"	"120110"
"host"	"IC 755"
"hvel"	"1501"
"maxday"	"13"
"maxmonth"	"3"
"maxyear"	"1999"
"redshift"	"0.00502"
"sndec"	"+140611.1"
"snra"	"120110.57"
"photometry"	"timeunit"	"MJD"	"time"	"51249.2"	"band"	"C"	"abmag"	"16.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51250.65"	"band"	"C"	"abmag"	"15"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51267.25"	"band"	"V"	"abmag"	"16.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51275.21"	"band"	"V"	"abmag"	"16.9"	"source"	"1,2"
