"name"	"SN2015X"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004169.txt'>CBET 4169</a>"	"alias"	"2"
"aliases"	"SN2015X,PSN J07164258+2951227"
"claimedtype"	"II"
"discoverday"	"7"
"discoverer"	"LOSS"
"discovermonth"	"3"
"discoveryear"	"2015"
"galdec"	"+295118"
"galra"	"071643"
"host"	"UGC 3777"
"hvel"	"3213"
"maxday"	"7"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.01"
"sndec"	"+29:51:22.7"
"snra"	"07:16:42.58"
"photometry"	"timeunit"	"MJD"	"time"	"57088.5"	"abmag"	"16.0"	"source"	"2,1"
