"name"	"MASTER J114525.38+212019.8"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4046'>ATEL 4046</a>"	"alias"	"2"
"aliases"	"MASTER J114525.38+212019.8"
"claimedtype"	"unk"
"discoverday"	"13"
"discoverer"	"MASTER"
"discovermonth"	"4"
"discoveryear"	"2012"
"maxday"	"13"
"maxmonth"	"4"
"maxyear"	"2012"
"sndec"	"+21:20:19.8"
"snra"	"11:45:25.38"
"photometry"	"timeunit"	"MJD"	"time"	"56030.5"	"abmag"	"18.5"	"source"	"2,1"
