"name"	"PSN J21055667-1236089"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J21055667-1236089.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J21055667-1236089,SNhunt251"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2014"
"host"	"PGC 950453"
"maxday"	"28"
"maxmonth"	"5"
"maxyear"	"2014"
"sndec"	"-12:36:08.9"
"snra"	"21:05:56.67"
"photometry"	"timeunit"	"MJD"	"time"	"56805.5"	"abmag"	"16.8"	"source"	"2,1"
