"name"	"SN2011fl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002806.txt'>CBET 2806</a>"	"alias"	"2"
"aliases"	"SN2011fl,PSN J00471993+2749355"
"claimedtype"	"Ib"
"discoverday"	"25"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"9"
"discoveryear"	"2011"
"galdec"	"+274939"
"galra"	"004719"
"host"	"IC 1584"
"hvel"	"4764"
"maxday"	"25"
"maxmonth"	"9"
"maxyear"	"2011"
"redshift"	"0.0158"
"sndec"	"+27:49:35.5"
"snra"	"00:47:19.93"
"photometry"	"timeunit"	"MJD"	"time"	"55829.5"	"abmag"	"18.1"	"source"	"2,1"
