"name"	"SN2006pg"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"+010522"
"galra"	"032720"
"host"	"A032720+0105"
"hvel"	"81200"
"maxday"	"11"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.32"
"sndec"	"+010522.8"
"snra"	"032720.71"
"photometry"	"timeunit"	"MJD"	"time"	"54048.0"	"band"	"g"	"abmag"	"22.1"	"source"	"1"
