"name"	"SN2012G"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002983.txt'>CBET 2983</a>"	"alias"	"2"
"aliases"	"SN2012G,MASTER PGC042367"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"ROTSE"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"+163516"
"galra"	"123936"
"host"	"A123936+1635"
"hvel"	"7500"
"maxday"	"20"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.025"
"sndec"	"+16:35:11.9"
"snra"	"12:39:35.1"
"photometry"	"timeunit"	"MJD"	"time"	"55946.5"	"abmag"	"15.8"	"source"	"2,1"
