"name"	"SN2012gq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003307.txt'>CBET 3307</a>"	"alias"	"2"
"aliases"	"SN2012gq,PSN J02524601+4655523"
"claimedtype"	"II"
"discoverday"	"19"
"discoverer"	"Xing Gao et al."
"discovermonth"	"11"
"discoveryear"	"2012"
"galdec"	"+465617"
"galra"	"025245"
"host"	"UGC 2351"
"hvel"	"8420"
"maxday"	"19"
"maxmonth"	"11"
"maxyear"	"2012"
"redshift"	"0.0281"
"sndec"	"+46:55:52.3"
"snra"	"02:52:46.01"
"photometry"	"timeunit"	"MJD"	"time"	"56250.5"	"abmag"	"17.1"	"source"	"2,1"
