"name"	"SN2000cs"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II pec"
"discoverday"	"30"
"discoverer"	"Puckett"
"discovermonth"	"6"
"discoveryear"	"2000"
"galdec"	"+390715"
"galra"	"162332"
"host"	"M+07-34-15"
"hvel"	"10596"
"maxday"	"5"
"maxmonth"	"7"
"maxyear"	"2000"
"redshift"	"0.036"
"sndec"	"+390729.1"
"snra"	"162332.24"
"photometry"	"timeunit"	"MJD"	"time"	"51725.25"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51730.3"	"band"	"R"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51732.28"	"band"	"R"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51733.98"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
