"name"	"SN2011K"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002636.txt'>CBET 2636</a>"	"alias"	"2"
"aliases"	"SN2011K,PSN J04453038-0720527"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"-072052"
"galra"	"044530"
"host"	"A044530-0720"
"maxday"	"12"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"-07:20:52.7"
"snra"	"04:45:30.38"
"photometry"	"timeunit"	"MJD"	"time"	"55573.5"	"abmag"	"14.8"	"source"	"2,1"
