"name"	"ASASSN-14ew"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6367'>ATEL 6367</a>"	"alias"	"2"
"aliases"	"ASASSN-14ew,PSN J20220086-5147469"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"8"
"discoveryear"	"2014"
"maxday"	"12"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.019597"
"sndec"	"-51:47:46.5"
"snra"	"20:22:00.88"
"photometry"	"timeunit"	"MJD"	"time"	"56881.5"	"abmag"	"15.2"	"source"	"2,1"
