"name"	"SN2002hz"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ib"
"discoverday"	"12"
"discoverer"	"LOTOSS"
"discovermonth"	"11"
"discoveryear"	"2002"
"galdec"	"+383514"
"galra"	"222748"
"host"	"UGC 12044"
"hvel"	"5414"
"maxday"	"16"
"maxmonth"	"11"
"maxyear"	"2002"
"redshift"	"0.0182"
"sndec"	"+383509.5"
"snra"	"222749.54"
"photometry"	"timeunit"	"MJD"	"time"	"52590.2"	"band"	"C"	"abmag"	"18.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52594.2"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
