"name"	"SN2000fd"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"Puckett, Gauthier"
"discovermonth"	"12"
"discoveryear"	"2000"
"galdec"	"+330614"
"galra"	"002913"
"host"	"UGC 291"
"hvel"	"4821"
"maxday"	"17"
"maxmonth"	"12"
"maxyear"	"2000"
"redshift"	"0.0162"
"sndec"	"+330629.5"
"snra"	"002912.09"
"photometry"	"timeunit"	"MJD"	"time"	"51886.09"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51894.76"	"band"	"R"	"abmag"	"16.63"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51895.69"	"band"	"C"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51896.9"	"band"	"C"	"abmag"	"16.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51906.71"	"band"	"R"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51909.75"	"band"	"R"	"abmag"	"16.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51922.75"	"band"	"R"	"abmag"	"17.4"	"source"	"1,2"
