"name"	"SN2000co"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"2"
"discoverer"	"Puckett"
"discovermonth"	"6"
"discoveryear"	"2000"
"galdec"	"+415411"
"galra"	"155724"
"host"	"M+07-33-17"
"hvel"	"11590"
"maxday"	"2"
"maxmonth"	"6"
"maxyear"	"2000"
"redshift"	"0.0394"
"sndec"	"+415402.0"
"snra"	"155724.59"
"photometry"	"timeunit"	"MJD"	"time"	"51697.26"	"band"	"C"	"abmag"	"19.2"	"source"	"1,2"
