"name"	"PSN J03322558-3534253"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7894'>ATEL 7894</a>"	"alias"	"2"
"aliases"	"PSN J03322558-3534253,MASTER OT J021038.91+533751.8"
"discoverday"	"8"
"discoverer"	"MASTER"
"discovermonth"	"8"
"discoveryear"	"2015"
"host"	"PGC 647263"
"maxday"	"8"
"maxmonth"	"8"
"maxyear"	"2015"
"sndec"	"-35:34:25.3"
"snra"	"03:32:25.58"
"photometry"	"timeunit"	"MJD"	"time"	"57242.5"	"abmag"	"17.0"	"source"	"2,1"
