"name"	"SN2001eb"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"Boles"
"discovermonth"	"8"
"discoveryear"	"2001"
"galdec"	"+005150"
"galra"	"043045"
"host"	"NGC 1589"
"hvel"	"3795"
"maxday"	"29"
"maxmonth"	"8"
"maxyear"	"2001"
"redshift"	"0.0127"
"sndec"	"+005217.9"
"snra"	"043045.10"
"photometry"	"timeunit"	"MJD"	"time"	"52150.13"	"band"	"C"	"abmag"	"16.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52151.5"	"band"	"C"	"abmag"	"16.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52162.14"	"band"	"R"	"abmag"	"17.5"	"source"	"1,2"
