"name"	"PS1-13dku"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/?page=7'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS1-13dku,CSS131025:000816-033618"
"claimedtype"	"IIn"
"discoverday"	"24"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2013"
"maxday"	"24"
"maxmonth"	"10"
"maxyear"	"2013"
"redshift"	"0.07"
"sndec"	"-03:36:18.1"
"snra"	"00:08:16.12"
"photometry"	"timeunit"	"MJD"	"time"	"56589.5"	"abmag"	"17.2"	"source"	"2,1"
