"name"	"SN2008cg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001300/CBET001366.txt'>CBET 1366</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008cg,CSS080505:155415+105825"
"claimedtype"	"IIn"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2008"
"galdec"	"+105810"
"galra"	"155415"
"host"	"FGC 1965"
"hvel"	"10843"
"maxday"	"4"
"maxmonth"	"5"
"maxyear"	"2008"
"redshift"	"0.0362"
"sndec"	"+10:58:25.0"
"snra"	"15:54:15.15"
"photometry"	"timeunit"	"MJD"	"time"	"54590.5"	"abmag"	"16.7"	"source"	"2,1"
