"name"	"MASTER OT 160558.15+275921.7"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3545'>ATEL 3545</a>"	"alias"	"2"
"aliases"	"MASTER OT 160558.15+275921.7"
"discoverday"	"13"
"discoverer"	"MASTER"
"discovermonth"	"8"
"discoveryear"	"2011"
"maxday"	"13"
"maxmonth"	"8"
"maxyear"	"2011"
"sndec"	"+27:59:21.6"
"snra"	"16:05:58.15"
"photometry"	"timeunit"	"MJD"	"time"	"55786.5"	"abmag"	"17.2"	"source"	"2,1"
