"name"	"SN2013fp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003664.txt'>CBET 3664</a>"	"alias"	"2"
"aliases"	"SN2013fp,PSN J05320725-0754238"
"claimedtype"	"IIP"
"discoverday"	"22"
"discoverer"	"LOSS"
"discovermonth"	"9"
"discoveryear"	"2013"
"galdec"	"-075505"
"galra"	"053209"
"host"	"IC 421"
"hvel"	"3548"
"maxday"	"22"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.0119"
"sndec"	"-07:54:23.8"
"snra"	"05:32:07.25"
"photometry"	"timeunit"	"MJD"	"time"	"56557.5"	"abmag"	"18.5"	"source"	"2,1"
