"name"	"SN1988J"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"G.N.Kimeridze, D.Yu.Tsvetkov, AZh, 68, 341, 1991"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"Kimeridze"
"discovermonth"	"3"
"discoveryear"	"1988"
"galdec"	"+6012"
"galra"	"114406"
"host"	"A114406+6012"
"maxday"	"17"
"maxmonth"	"3"
"maxyear"	"1988"
"photometry"	"timeunit"	"MJD"	"time"	"47234.9"	"band"	"B"	"abmag"	"17.66"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"47236.9"	"band"	"B"	"abmag"	"17.75"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"47237.9"	"band"	"B"	"abmag"	"17.65"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"47256.8"	"band"	"B"	"abmag"	"18.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"47258.8"	"band"	"B"	"abmag"	"18.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"47259.8"	"band"	"B"	"abmag"	"18.46"	"source"	"1,2"
