"name"	"SN2015Y"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004170.txt'>CBET 4170</a>"	"alias"	"2"
"aliases"	"SN2015Y,PSN J09023787+2556042"
"claimedtype"	"IIb"
"discoverday"	"17"
"discoverer"	"LOSS"
"discovermonth"	"4"
"discoveryear"	"2015"
"galdec"	"+255604"
"galra"	"090239"
"host"	"NGC 2735"
"hvel"	"2450"
"maxday"	"17"
"maxmonth"	"4"
"maxyear"	"2015"
"redshift"	"0.008"
"sndec"	"+25:56:04.2"
"snra"	"09:02:37.87"
"photometry"	"timeunit"	"MJD"	"time"	"57129.5"	"abmag"	"15.9"	"source"	"2,1"
