"name"	"SN2009nd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002101.txt'>CBET 2101</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009nd,CSS091109:020054+135215"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"+135215"
"galra"	"020053"
"host"	"A020053+1352"
"maxday"	"8"
"maxmonth"	"11"
"maxyear"	"2009"
"sndec"	"+13:52:15.3"
"snra"	"02:00:53.94"
"photometry"	"timeunit"	"MJD"	"time"	"55143.5"	"abmag"	"19.3"	"source"	"2,1"
