"name"	"SN2000ek"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"discoverday"	"7"
"discoverer"	"Chassagne"
"discovermonth"	"11"
"discoveryear"	"2000"
"galdec"	"-535012"
"galra"	"021032"
"host"	"E153-G27"
"hvel"	"5704"
"maxday"	"7"
"maxmonth"	"11"
"maxyear"	"2000"
"redshift"	"0.0192"
"sndec"	"-534928.0"
"snra"	"021030.04"
"photometry"	"timeunit"	"MJD"	"time"	"51855.82"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51856.72"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51856.72"	"band"	"R"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51857.78"	"band"	"R"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51858.76"	"band"	"R"	"abmag"	"17.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51866.4"	"band"	"R"	"abmag"	"17.7"	"source"	"1,2"
