"name"	"SN2012cp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003130.txt'>CBET 3130</a>"	"alias"	"2"
"aliases"	"SN2012cp,PSN J13470168+3353360"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"7"
"discoveryear"	"2012"
"galdec"	"+335337"
"galra"	"134701"
"host"	"UGC 8713"
"hvel"	"4941"
"maxday"	"17"
"maxmonth"	"7"
"maxyear"	"2012"
"redshift"	"0.01635"
"sndec"	"+33:53:36.0"
"snra"	"13:47:01.68"
"photometry"	"timeunit"	"MJD"	"time"	"56125.5"	"abmag"	"16.2"	"source"	"2,1"
