"name"	"SN2009ni"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002101.txt'>CBET 2101</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ni,CSS091216:084441-061935"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2009"
"galdec"	"-061935"
"galra"	"084441"
"host"	"A084441-0619"
"maxday"	"15"
"maxmonth"	"12"
"maxyear"	"2009"
"sndec"	"-06:19:35.3"
"snra"	"08:44:41.49"
"photometry"	"timeunit"	"MJD"	"time"	"55180.5"	"abmag"	"18.4"	"source"	"2,1"
