"name"	"ASASSN-15df"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7097'>ATEL 7097</a>"	"alias"	"2"
"aliases"	"ASASSN-15df,CSS150227:103530+343423"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"2"
"discoveryear"	"2015"
"maxday"	"26"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.03631"
"sndec"	"+34:34:23.7"
"snra"	"10:35:29.72"
"photometry"	"timeunit"	"MJD"	"time"	"57079.5"	"abmag"	"16.3"	"source"	"2,1"
