"name"	"SN2011ek"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002783.txt'>CBET 2783</a>"	"alias"	"2"
"aliases"	"SN2011ek,PSN J02254889+1832000"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"8"
"discoveryear"	"2011"
"galdec"	"+182946"
"galra"	"022551"
"host"	"NGC 918"
"hvel"	"1502"
"maxday"	"16"
"maxmonth"	"8"
"maxyear"	"2011"
"redshift"	"0.005"
"sndec"	"+18:32:00.0"
"snra"	"02:25:48.88"
"photometry"	"timeunit"	"MJD"	"time"	"55789.5"	"abmag"	"14.3"	"source"	"2,1"
