"name"	"SN2010lh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002601.txt'>CBET 2601</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010lh,MLS101127:013034+104027"
"claimedtype"	"Ia-pec"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2010"
"galdec"	"+104027"
"galra"	"013033"
"host"	"A013033+1040"
"maxday"	"26"
"maxmonth"	"11"
"maxyear"	"2010"
"sndec"	"+10:40:27.0"
"snra"	"01:30:33.70"
"photometry"	"timeunit"	"MJD"	"time"	"55526.5"	"abmag"	"19.3"	"source"	"2,1"
