"name"	"SN1985C"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/04000/04038.html'>IAUC 4038</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN1985C"
"claimedtype"	"I?"
"discoverday"	"14"
"discoverer"	"Spanhauer, Cameron"
"discovermonth"	"2"
"discoveryear"	"1985"
"galdec"	"-280024"
"galra"	"103349"
"host"	"ESO 436-G36"
"hvel"	"3633"
"maxday"	"14"
"maxmonth"	"2"
"maxyear"	"1985"
"redshift"	"0.0122"
"sndec"	"-28:00:24.0"
"snra"	"10:33:48.8"
"photometry"	"timeunit"	"MJD"	"time"	"46110.5"	"abmag"	"16.5"	"source"	"2,1"
