"name"	"SN2011as"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002674.txt'>CBET 2674</a>"	"alias"	"2"
"aliases"	"SN2011as,PSN J04370666+4355353"
"claimedtype"	"II"
"discoverday"	"23"
"discoverer"	"LOSS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+435535"
"galra"	"043706"
"host"	"UGC 3098"
"hvel"	"3870"
"maxday"	"23"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.013"
"sndec"	"+43:55:35.2"
"snra"	"04:37:06.65"
"photometry"	"timeunit"	"MJD"	"time"	"55584.5"	"abmag"	"17.2"	"source"	"2,1"
