"name"	"SN2011dp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002748.txt'>CBET 2748</a>"	"alias"	"2"
"aliases"	"SN2011dp,PSN J01452477-0349353"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"Berto Monard"
"discovermonth"	"6"
"discoveryear"	"2011"
"galdec"	"-034938"
"galra"	"014525"
"host"	"MCG -1-5-31"
"hvel"	"5456"
"maxday"	"2"
"maxmonth"	"6"
"maxyear"	"2011"
"redshift"	"0.0182"
"sndec"	"-03:49:35.2"
"snra"	"01:45:24.77"
"photometry"	"timeunit"	"MJD"	"time"	"55714.5"	"abmag"	"16.0"	"source"	"2,1"
