"name"	"SN2009R"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001600/CBET001676.txt'>CBET 1676</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009R,CSS090102:115111+244023"
"discoverday"	"1"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2009"
"galdec"	"+244022"
"galra"	"115110"
"host"	"A115110+2440"
"hvel"	"36500"
"maxday"	"1"
"maxmonth"	"1"
"maxyear"	"2009"
"redshift"	"0.13"
"sndec"	"+24:40:22.5"
"snra"	"11:51:10.62"
"photometry"	"timeunit"	"MJD"	"time"	"54832.5"	"abmag"	"19.2"	"source"	"2,1"
