"name"	"SN1999fx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07300/0712.html#Item1'>IAUC 7346</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN1999fx"
"claimedtype"	"Ia?"
"discoverday"	"2"
"discoverer"	"High Z Supernova Search"
"discovermonth"	"11"
"discoveryear"	"1999"
"galdec"	"+001203"
"galra"	"233337"
"host"	"A233337+0012"
"hvel"	"114000"
"maxday"	"2"
"maxmonth"	"11"
"maxyear"	"1999"
"redshift"	"0.49"
"sndec"	"+00:12:03.8"
"snra"	"23:33:37.79"
"photometry"	"timeunit"	"MJD"	"time"	"51484.5"	"abmag"	"23.1"	"source"	"2,1"
