"name"	"SN2014aa"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003823.txt'>CBET 3823</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"source"	"name"	"Thomas Langhans"	"alias"	"4"
"aliases"	"SN2014aa,PSN J11450358+1958254"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"Ron Arbour"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+195825"
"galra"	"114504"
"host"	"NGC 3861"
"hvel"	"5068"
"maxday"	"8"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.016982"
"sndec"	"+19:58:25.4"
"snra"	"11:45:03.58"
"photometry"	"timeunit"	"MJD"	"time"	"56724.5"	"abmag"	"15.2"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56726.385"	"band"	"C"	"abmag"	"15.4"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56754.275"	"band"	"UV"	"abmag"	"16.2"	"source"	"4,1"
