"name"	"PTF12hdb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4293'>ATEL 4293</a>"	"alias"	"2"
"aliases"	"PTF12hdb,LSQ12dwf"
"claimedtype"	"Ia"
"discoverday"	"6"
"discoverer"	"PTF"
"discovermonth"	"8"
"discoveryear"	"2012"
"maxday"	"6"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.121"
"sndec"	"+00:08:57.4"
"snra"	"21:33:54.02"
"photometry"	"timeunit"	"MJD"	"time"	"56145.5"	"abmag"	"20.2"	"source"	"2,1"
