"name"	"SN2012hx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003354.txt'>CBET 3354</a>"	"alias"	"2"
"aliases"	"SN2012hx,PSN J05012988-1343464"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2012"
"galdec"	"-134346"
"galra"	"050129"
"host"	"A050129-1343"
"hvel"	"8400"
"maxday"	"11"
"maxmonth"	"12"
"maxyear"	"2012"
"redshift"	"0.028"
"sndec"	"-13:43:46.4"
"snra"	"05:01:29.88"
"photometry"	"timeunit"	"MJD"	"time"	"56272.5"	"abmag"	"16.5"	"source"	"2,1"
