"name"	"MASTER 134201.21-023856.2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4065'>ATEL 4065</a>"	"alias"	"2"
"aliases"	"MASTER 134201.21-023856.2"
"claimedtype"	"II?"
"discoverday"	"20"
"discoverer"	"MASTER"
"discovermonth"	"4"
"discoveryear"	"2012"
"maxday"	"20"
"maxmonth"	"4"
"maxyear"	"2012"
"redshift"	"0.13"
"sndec"	"-02:38:56.2"
"snra"	"13:42:01.21"
"photometry"	"timeunit"	"MJD"	"time"	"56037.5"	"abmag"	"19.4"	"source"	"2,1"
