"name"	"SN2010dk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002296.txt'>CBET 2296</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010dk,CSS100516:142856+201904"
"discoverday"	"15"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"+201904"
"galra"	"142856"
"host"	"A142856+2019"
"maxday"	"15"
"maxmonth"	"3"
"maxyear"	"2010"
"sndec"	"+20:19:04.0"
"snra"	"14:28:56.16"
"photometry"	"timeunit"	"MJD"	"time"	"55270.5"	"abmag"	"20.8"	"source"	"2,1"
