"name"	"SN2007sg"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"-005405"
"galra"	"231926"
"host"	"A231926-0054"
"hvel"	"51600"
"maxday"	"28"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.19"
"sndec"	"-005405.9"
"snra"	"231926.09"
"photometry"	"timeunit"	"MJD"	"time"	"54416.0"	"band"	"g"	"abmag"	"22.7"	"source"	"1"
