"name"	"SN2013en"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003613.txt'>CBET 3613</a>"	"alias"	"2"
"aliases"	"SN2013en,PSN J18513735+2338206"
"claimedtype"	"Ia-pec"
"discoverday"	"12"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"8"
"discoveryear"	"2013"
"galdec"	"+233805"
"galra"	"185138"
"host"	"UGC 11369"
"hvel"	"4548"
"maxday"	"12"
"maxmonth"	"8"
"maxyear"	"2013"
"redshift"	"0.015207"
"sndec"	"+23:38:20.6"
"snra"	"18:51:37.35"
"photometry"	"timeunit"	"MJD"	"time"	"56516.5"	"abmag"	"15.7"	"source"	"2,1"
