"name"	"SN2013dq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003573.txt'>CBET 3573</a>"	"alias"	"2"
"aliases"	"SN2013dq,PSN J00513484+2943149"
"claimedtype"	"Ia-91T"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2013"
"galdec"	"+294259"
"galra"	"005135"
"host"	"UGC 525"
"hvel"	"4931"
"maxday"	"26"
"maxmonth"	"6"
"maxyear"	"2013"
"redshift"	"0.0164"
"sndec"	"+29:43:14.9"
"snra"	"00:51:34.84"
"photometry"	"timeunit"	"MJD"	"time"	"56469.5"	"abmag"	"16.8"	"source"	"2,1"
