"name"	"SN2014ab"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003826.txt'>CBET 3826</a>"	"alias"	"2"
"aliases"	"SN2014ab,PSN J13480599+0723164"
"claimedtype"	"IIn"
"discoverday"	"9"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+072316"
"galra"	"134805"
"host"	"UGC 8728"
"hvel"	"6000"
"maxday"	"9"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.023226"
"sndec"	"+07:23:16.4"
"snra"	"13:48:05.99"
"photometry"	"timeunit"	"MJD"	"time"	"56725.5"	"abmag"	"15.3"	"source"	"2,1"
