"name"	"SN2014H"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003788.txt'>CBET 3788</a>"	"alias"	"2"
"aliases"	"SN2014H,PS1-14oh"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"1"
"discoveryear"	"2014"
"galdec"	"+320452"
"galra"	"033701"
"host"	"A033701+3204"
"hvel"	"4500"
"maxday"	"14"
"maxmonth"	"1"
"maxyear"	"2014"
"redshift"	"0.015"
"sndec"	"+32:05:01.7"
"snra"	"03:37:01.48"
"photometry"	"timeunit"	"MJD"	"time"	"56671.5"	"abmag"	"16.3"	"source"	"2,1"
