"name"	"PS15ckb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15ckb,DES15S2kqw"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2015"
"maxday"	"12"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.237"
"sndec"	"-01:05:17.4"
"snra"	"02:45:58.93"
"photometry"	"timeunit"	"MJD"	"time"	"57307.5"	"abmag"	"20.8"	"source"	"2,1"
