"name"	"SN2013de"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003555.txt'>CBET 3555</a>"	"alias"	"2"
"aliases"	"SN2013de,MLS130531:100208+115705"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+115713"
"galra"	"100208"
"host"	"CGCG 64-31"
"hvel"	"10859"
"maxday"	"30"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.0362"
"sndec"	"+11:57:05.2"
"snra"	"10:02:07.97"
"photometry"	"timeunit"	"MJD"	"time"	"56442.5"	"abmag"	"17.7"	"source"	"2,1"
