"name"	"SN2014ao"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003855.txt'>CBET 3855</a>"	"alias"	"2"
"source"	"name"	"Nor Schramm"	"alias"	"3"
"source"	"name"	"Stan Howerton"	"alias"	"4"
"aliases"	"SN2014ao,PSN J08343332-0232361"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"LOSS"
"discovermonth"	"4"
"discoveryear"	"2014"
"galdec"	"-023248"
"galra"	"083433"
"host"	"NGC 2615"
"hvel"	"4097"
"maxday"	"17"
"maxmonth"	"4"
"maxyear"	"2014"
"redshift"	"0.014"
"sndec"	"-02:32:36.1"
"snra"	"08:34:33.32"
"photometry"	"timeunit"	"MJD"	"time"	"56764.5"	"abmag"	"15.2"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56768.049"	"band"	"U"	"abmag"	"13.65"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56769.05"	"band"	"U"	"abmag"	"13.64"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56772.042"	"band"	"U"	"abmag"	"13.81"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56780.124"	"band"	"U"	"abmag"	"17.4"	"source"	"4,1"
