"name"	"SN2008ja"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001900/CBET001936.txt'>CBET 1936</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008ja,CSS080701:234413+075224"
"claimedtype"	"IIn"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2008"
"galdec"	"+075223"
"galra"	"234412"
"host"	"A234412+0752"
"hvel"	"20700"
"maxday"	"30"
"maxmonth"	"6"
"maxyear"	"2008"
"redshift"	"0.0716"
"sndec"	"+07:52:23.6"
"snra"	"23:44:12.82"
"photometry"	"timeunit"	"MJD"	"time"	"54647.5"	"abmag"	"18.5"	"source"	"2,1"
