"name"	"SN2012ea"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003199.txt'>CBET 3199</a>"	"alias"	"2"
"aliases"	"SN2012ea,PSN J17451040+1808268"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"LOSS"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"+180820"
"galra"	"174514"
"host"	"NGC 6430"
"hvel"	"3048"
"maxday"	"15"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.0102"
"sndec"	"+18:08:26.8"
"snra"	"17:45:10.40"
"photometry"	"timeunit"	"MJD"	"time"	"56154.5"	"abmag"	"15.4"	"source"	"2,1"
