"name"	"PSN J14563583+1744105"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J14563583+1744105.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J14563583+1744105,iPTF13alf"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"maxday"	"20"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.033"
"sndec"	"+17:44:10.5"
"snra"	"14:56:35.83"
"photometry"	"timeunit"	"MJD"	"time"	"56402.5"	"abmag"	"17.0"	"source"	"2,1"
