"name"	"PSN J11240925-1219390"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J11240925-1219390.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J11240925-1219390,SNhunt172"
"claimedtype"	"II"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2013"
"maxday"	"12"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.065"
"sndec"	"-12:19:39.0"
"snra"	"11:24:09.25"
"photometry"	"timeunit"	"MJD"	"time"	"56363.5"	"abmag"	"18.5"	"source"	"2,1"
