"name"	"SN2006sz"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-003322"
"galra"	"234252"
"host"	"A234252-0033"
"hvel"	"51600"
"maxday"	"21"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.19"
"sndec"	"-003322.9"
"snra"	"234252.46"
"photometry"	"timeunit"	"MJD"	"time"	"54055.0"	"band"	"g"	"abmag"	"22.6"	"source"	"1"
