"name"	"PSN J05573917-5158201"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J05573917-5158201.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J05573917-5158201,SNhunt123"
"claimedtype"	"unk"
"discoverday"	"3"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2012"
"host"	"ESO 205-G11"
"maxday"	"3"
"maxmonth"	"5"
"maxyear"	"2012"
"sndec"	"-51:58:20.1"
"snra"	"05:57:39.17"
"photometry"	"timeunit"	"MJD"	"time"	"56050.5"	"abmag"	"16.9"	"source"	"2,1"
