"name"	"SN2012R"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002998.txt'>CBET 2998</a>"	"alias"	"2"
"aliases"	"SN2012R,PSN J14211421-3613107"
"claimedtype"	"II"
"discoverday"	"4"
"discoverer"	"CHASE"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-361336"
"galra"	"142116"
"host"	"ESO 385-G12"
"hvel"	"3724"
"maxday"	"4"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.0124"
"sndec"	"-36:13:10.7"
"snra"	"14:21:14.21"
"photometry"	"timeunit"	"MJD"	"time"	"55930.5"	"abmag"	"17.1"	"source"	"2,1"
