"name"	"SN2009cb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001752.txt'>CBET 1752</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009cb,CSS090319:125916+271641"
"claimedtype"	"unk"
"discoverday"	"18"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2009"
"galdec"	"+271641"
"galra"	"125916"
"host"	"A125916+2716"
"hvel"	"51600"
"maxday"	"18"
"maxmonth"	"3"
"maxyear"	"2009"
"redshift"	"0.19"
"sndec"	"+27:16:41.3"
"snra"	"12:59:15.85"
"photometry"	"timeunit"	"MJD"	"time"	"54908.5"	"abmag"	"19.8"	"source"	"2,1"
