"name"	"SN2013bc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003468.txt'>CBET 3468</a>"	"alias"	"2"
"aliases"	"SN2013bc,PSN J13102131-0710241"
"claimedtype"	"Ia-91bg"
"discoverday"	"31"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-071014"
"galra"	"131022"
"host"	"IC 4209"
"hvel"	"6718"
"maxday"	"31"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.022"
"sndec"	"-07:10:24.1"
"snra"	"13:10:21.31"
"photometry"	"timeunit"	"MJD"	"time"	"56382.5"	"abmag"	"17.6"	"source"	"2,1"
