"name"	"iPTF14bdn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6175'>ATEL 6175</a>"	"alias"	"2"
"aliases"	"iPTF14bdn,CSS140606:133045+324542"
"claimedtype"	"Ia-91T"
"discoverday"	"5"
"discoverer"	"PTF"
"discovermonth"	"6"
"discoveryear"	"2014"
"host"	"UGC 8503"
"maxday"	"5"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.01558"
"sndec"	"+32:45:42.4"
"snra"	"13:30:44.88"
"photometry"	"timeunit"	"MJD"	"time"	"56813.5"	"abmag"	"14.7"	"source"	"2,1"
