"name"	"SN2007sk"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"II"
"discoverday"	"17"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+011254"
"galra"	"012705"
"host"	"A012705+0112"
"hvel"	"61200"
"maxday"	"27"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.23"
"sndec"	"+011254.5"
"snra"	"012705.25"
"photometry"	"timeunit"	"MJD"	"time"	"54421.0"	"band"	"g"	"abmag"	"21.9"	"source"	"1"
