"name"	"PS15bui"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15bui,CSS151008:001611+153658"
"discoverday"	"7"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2015"
"maxday"	"7"
"maxmonth"	"10"
"maxyear"	"2015"
"sndec"	"+15:36:56.8"
"snra"	"00:16:10.98"
"photometry"	"timeunit"	"MJD"	"time"	"57302.5"	"abmag"	"18.6"	"source"	"2,1"
