"name"	"SN2013hr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003769.txt'>CBET 3769</a>"	"alias"	"2"
"aliases"	"SN2013hr,PSN J14590085+4948476"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"MASTER"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"+494917"
"galra"	"145858"
"host"	"NGC 5818"
"hvel"	"7864"
"maxday"	"25"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.026191"
"sndec"	"+49:48:47.6"
"snra"	"14:59:00.85"
"photometry"	"timeunit"	"MJD"	"time"	"56651.5"	"abmag"	"15.9"	"source"	"2,1"
