"name"	"SN2013cf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003516.txt'>CBET 3516</a>"	"alias"	"2"
"aliases"	"SN2013cf,PSN J11343649+5453244"
"claimedtype"	"IIP"
"discoverday"	"28"
"discoverer"	"Ron Arbour"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+545329"
"galra"	"113437"
"host"	"PGC 213858"
"hvel"	"5794"
"maxday"	"28"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.0195"
"sndec"	"+54:53:24.4"
"snra"	"11:34:36.49"
"photometry"	"timeunit"	"MJD"	"time"	"56410.5"	"abmag"	"18.1"	"source"	"2,1"
