"name"	"SN2011ia"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002910.txt'>CBET 2910</a>"	"alias"	"2"
"aliases"	"SN2011ia,PSN J09450355+6415366"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+641527"
"galra"	"094503"
"host"	"MCG +11-12-23"
"hvel"	"5700"
"maxday"	"22"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.019"
"sndec"	"+64:15:36.5"
"snra"	"09:45:03.54"
"photometry"	"timeunit"	"MJD"	"time"	"55887.5"	"abmag"	"14.8"	"source"	"2,1"
