"name"	"PSN J08384182-6420485"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J08384182-6420485.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J08384182-6420485,PSN J01584182-6420485"
"claimedtype"	"IIP"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2013"
"host"	"ESO 90-G4"
"maxday"	"14"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.006"
"sndec"	"-64:20:48.5"
"snra"	"08:38:41.82"
"photometry"	"timeunit"	"MJD"	"time"	"56365.5"	"abmag"	"15.9"	"source"	"2,1"
