"name"	"SN2001ai"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ib"
"discoverday"	"28"
"discoverer"	"LOTOSS"
"discovermonth"	"3"
"discoveryear"	"2001"
"galdec"	"+554012"
"galra"	"134139"
"host"	"NGC 5278"
"hvel"	"7541"
"maxday"	"5"
"maxmonth"	"4"
"maxyear"	"2001"
"redshift"	"0.0255"
"sndec"	"+554005.8"
"snra"	"134139.37"
"photometry"	"timeunit"	"MJD"	"time"	"51996.4"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51997.4"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51999.84"	"band"	"C"	"abmag"	"17.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51999.92"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52000.0"	"band"	"R"	"abmag"	"16.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52002.91"	"band"	"R"	"abmag"	"17.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52004.12"	"band"	"R"	"abmag"	"16.5"	"source"	"1,2"
